X;Y;Z;Alteration;Au (gr/ton);Ag (gr/ton);Mineralization_d;Mineralization
41371.25071;802992.1231;442.0348151;2;0.05443336;1.32247644;Oxido;1
41370.74381;802992.2612;441.5094277;2;0.04791924;0.43041722;Oxido;1
41370.23648;802992.3977;440.9840412;2;0.08514132;1.43391656;Oxido;1
41369.72872;802992.5325;440.458654;2;0.04525708;1.74939434;Sulfuro;3
41369.22052;802992.6658;439.9332653;2;0.01;0.2;Sulfuro;3
41368.71204;802992.7981;439.4079063;2;0.177179;0.28102288;Sulfuro;3
41368.20364;802992.9311;438.8826502;2;0.024786;0.22664872;Sulfuro;3
41367.69551;802993.0656;438.3575377;2;0.25176852;0.57119784;Sulfuro;3
41367.18765;802993.2017;437.8325686;2;0.60481292;3.38734858;Sulfuro;3
41366.68748;802993.3374;437.3154228;4;0.94144196;24.33032928;Sulfuro;3
41366.195;802993.4724;436.8060919;4;0.49607624;6.3795494;Sulfuro;3
41365.70278;802993.6089;436.2968775;4;0.6913622;18.45511266;Sulfuro;3
41365.21094;802993.7466;435.787618;4;0.50374352;7.92339688;Sulfuro;3
41364.71959;802993.8851;435.278128;4;0.7380104;8.13656846;Mixto;2
41364.22876;802994.0245;434.7683705;4;0.97367072;17.05719238;Mixto;2
41363.73844;802994.1647;434.2583462;4;1.1551404;15.32409012;Sulfuro;3
41363.24863;802994.3058;433.7480543;4;0.7973726;5.47313692;Sulfuro;3
41362.75934;802994.4476;433.2374945;2;0.07283884;0.39410746;Sulfuro;3
41362.2705;802994.5904;432.7267396;2;0.02974696;0.23951474;Sulfuro;3
41361.78194;802994.7343;432.2160504;2;0.028;0.28908146;Sulfuro;3
41361.29352;802994.8796;431.7056213;2;0.0319376;1.01975736;Sulfuro;3
41360.80522;802995.0262;431.1954619;2;0.19175736;0.55667244;Sulfuro;3
41360.31706;802995.1742;430.6855707;2;0.23167416;0.56637782;Sulfuro;3
41359.82903;802995.3235;430.1759452;2;0.52424956;2.67244368;Sulfuro;3
41359.34113;802995.4742;429.6665861;2;0.13468976;0.58717504;Sulfuro;3
41366.13241;802993.5926;444.0254865;2;0.153;0.4;Oxido;1
41365.58733;802993.7475;443.4607811;2;0.481;1.95;Oxido;1
41365.07356;802993.8959;442.9296016;1;2.23127916;12.3229682;Oxido;1
41364.59113;802994.0374;442.4318457;1;2.84730744;19.26431096;Oxido;1
41364.10853;802994.1811;441.9348565;1;1.92582332;16.0819788;Oxido;1
41363.62582;802994.3267;441.4385065;1;1.55004948;36.04522968;Mixto;2
41363.16802;802994.4654;440.967564;2;2.627937;14.14488188;Mixto;2
41362.73538;802994.596;440.5214744;2;0.8167244;3.39212598;Mixto;2
41362.34566;802994.7132;440.118808;4;1.68588236;35.6862745;Sulfuro;3
41361.90142;802994.8462;439.6585956;2;0.02674476;0.2627615;Sulfuro;3
41361.36027;802995.0075;439.0966391;2;0.47702092;0.2;Sulfuro;3
41360.81979;802995.1678;438.5337389;2;0.4797322;0.40083682;Sulfuro;3
41360.34652;802995.3075;438.0395936;4;0.673;0.36333334;Sulfuro;3
41359.94014;802995.4266;437.6145179;4;0.60293332;0.54;Sulfuro;3
41359.48051;802995.5597;437.1334039;2;0.37479244;0.2;Sulfuro;3
41358.96754;802995.7065;436.5962058;2;0.0938868;0.2;Sulfuro;3
41358.45445;802995.8512;436.0585886;2;0.26060376;0.21886792;Sulfuro;3
41357.94124;802995.994;435.520549;2;0.22467924;6.58113208;Sulfuro;3
41357.4279;802996.1347;434.9820848;2;0.09313208;0.45283018;Sulfuro;3
41356.91446;802996.2734;434.4431787;2;0.04015096;0.61132076;Sulfuro;3
41356.40108;802996.4102;433.9037168;2;0.02852832;0.26792452;Sulfuro;3
41355.88795;802996.5452;433.3635815;2;0.05913964;0.23018868;Sulfuro;3
41355.3751;802996.6784;432.8227525;2;0.45624152;16.71245284;Sulfuro;3
41354.86253;802996.8097;432.2812228;2;0.47773584;8.0981132;Sulfuro;3
41354.35023;802996.9393;431.738989;2;0.37634716;3.99698114;Sulfuro;3
41353.8382;802997.067;431.1960545;2;0.44895848;5.9826415;Sulfuro;3
41353.32641;802997.1933;430.6525523;2;0.17859624;2.3418868;Sulfuro;3
41352.81471;802997.319;430.1088304;2;0.34626416;0.83396226;Sulfuro;3
41352.35611;802997.4317;429.6215304;4;0.27466668;2.53333334;Sulfuro;3
41351.89486;802997.545;429.1314092;2;0.30002616;9.324183;Sulfuro;3
41351.37785;802997.672;428.5820426;2;0.27775164;1.35294118;Sulfuro;3
41350.86085;802997.7989;428.032676;2;0.36337256;4.1006536;Sulfuro;3
41350.34384;802997.9259;427.4833093;2;0.32635296;10.35424836;Sulfuro;3
41373.15328;802991.5722;442.013049;2;0.01028572;0.2;Oxido;1
41373.69324;802991.4165;441.4753515;2;0.37668572;21.88571428;Oxido;1
41374.23347;802991.2623;440.9374853;2;0.26822856;14.54857142;Oxido;1
41374.77396;802991.1095;440.3994492;2;0.02491428;0.32;Oxido;1
41375.31469;802990.9583;439.8612261;2;0.012;0.2;Oxido;1
41375.85509;802990.8082;439.3223497;2;0.01354284;0.22314286;Oxido;1
41376.39433;802990.6587;438.7821717;2;0.02388572;0.42857142;Oxido;1
41376.93216;802990.5095;438.2404854;2;0.14994284;1.56571428;Sulfuro;3
41377.49912;802990.3523;437.6661472;3;0.012;0.33846154;Sulfuro;3
41378.09505;802990.187;437.0589756;3;0.02876924;0.2;Sulfuro;3
41378.6894;802990.0222;436.4501348;3;0.0725154;0.2;Sulfuro;3
41379.23783;802989.8699;435.8867523;2;0.22427212;0.2;Sulfuro;3
41379.7293;802989.7334;435.3814539;3;0.01529244;0.2;Sulfuro;3
